length,trial,distinct,acc,best_score,true_score,spurious,plain,best
20,9,20,0.05,222.477,157.07,1,NGPEOPLEBECAUSEITISS,DBYTHESERVINGPLACKOF
20,10,20,0.0,222.079,126.349,1,ICHBRINGOUPAPOINTABO,DYSAMEWORKINGTHECLUB
20,11,19,0.1,213.01,102.706,1,THEMOATDANGERTUEANAM,FYOUCANDTHEMISPROBLU
20,12,19,0.0,217.772,123.329,1,EALLTHESOOHERBECAUSE,KSFORANDWHATPUBLICEM
20,13,19,0.0,219.826,133.317,1,FUNTHANKILLINGWILDGA,UMBLACKERSOFTHINGWHY
20,14,19,0.05,218.169,123.719,1,PARADICEANDALLTHEIHA,BLYWHATUREDINGCOMPOS
20,15,20,0.0,224.929,112.083,1,IEIWILLBEREBORNINPAR,YDJUSTINGOFTHEMARKBL
20,16,19,0.05,225.857,119.869,1,HANKILLINGWILDGAMEIN,GUNCOMPLATEDBYTHISFR
20,17,19,0.05,220.489,155.787,1,TINGYOURROCKSOFFWITH,DSUCKINGFORTHALLYEXP
20,18,19,0.0,218.567,101.839,1,PARADLCEALLTHESOOHER,RKSCOMPLETHINGABUNDY
20,19,19,0.0,212.758,133.371,1,FUNITIAMOREFUNTHANKI,IMPLYTHEREVIOUSANDCB
20,20,18,0.05,203.794,154.01,1,ASNOTHINGWHENTHEYREA,USEDWITHORICALINGMYF
20,21,18,0.05,208.841,144.964,1,NTHEYREACHPARADICESO,LYSPECTHISFORMAKINGD
20,22,18,0.0,205.563,103.765,1,TMYNEWLIFEISLIFEWILL,YBLACKEDTHEMOSTINGRE
20,23,17,0.05,198.59,107.768,1,EWHEREEVERYONEELSEHA,RDSTHEPUBLINFORMATSC
32,0,31,0.0312,241.691,158.179,1,OFDEATHIAMNOTAFRAIDBECAUSEIVNOWT,ANDWELCOMPACKINGSFORTHEVERYBUTIJ
32,1,27,0.0625,226.956,157.465,1,RYINGTOCATCHMETHATWASNTMEONTHETV,JXPBUTWHICHELOVERINGFORLYMAKESTD
32,2,30,0.125,237.429,168.728,1,OUMYNAMEBECAUSEYOUWILLTRYTOSLOID,XBEINGEVERYWASTHATWOULDPICKOFJUM
32,3,29,0.0312,236.772,146.733,1,UGHSLAVESTOWORVFORMEWHEREEVERYON,PLYJUSTINGSANDTHEBACKYOURETHEMWF
32,4,30,0.0938,239.856,141.036,1,TBECAUSEMANISTHEMOATDANGERTUEANA,WBYJULYMAKINGFORAVECOMPANDTHESQU
32,5,27,0.0,224.475,158.577,1,TABOUTMEIAMNOTAFRAIDOFTHEGASCHAM,FDWELLBACKBYJUSTHEMONTHISPROVIDB
32,6,31,0.0625,249.805,160.543,1,MOATTHRILLINGEXPERENCEITISEVENBE,XZVIEWOULDBEFORMANSPACKINGTHEYJO
32,7,28,0.0312,232.708,177.047,1,NGETTINGYOURROCKSOFFWITHAGIRLTHE,JAKINGPAINFORMEDBUTTHEYSCALLOWSV
32,8,31,0.0312,243.122,187.627,1,EKILLINGPEOPLEBECAUSEITISSOMUCHF,JUMPLAYBACKINGTHESINGWORDOFTHEVX
32,9,31,0.0625,239.687,173.977,1,TAFRAIDBECAUSEIVNOWTHATMYNEWLIFE,BVESANDFORINGWHATLIKEYOURCOMPLEX
32,10,27,0.0312,222.216,160.4,1,LBECOMEMYSLAVESIWILLNOTGIVEYOUMY,UBOWSEVERYTHICKANDFULLYTHINGAMER
32,11,28,0.0938,235.151,139.123,1,THEYREACHPARADICESOTHEYAREAFRAID,XAMPLECHANDSWITHINGMAYBERSOFUCKJ
32,12,29,0.0,240.324,144.225,1,NPARADICEANDALLTHEIHAVEKILLEDWIL,VJUSTHANDBACKINGEXPERFORTWILLMYN
32,13,27,0.0625,221.886,152.287,1,EEVERYONEELSEHASNOTHINGWHENTHEYR,LRUSANDWHATSBEINGTHECOMPELIVERYF
32,14,30,0.0312,238.048,145.786,1,HICHBRINGOUPAPOINTABOUTMEIAMNOTA,CWSCOMPARKINGANDOVERYTHEFILESUBJ
32,15,31,0.0,243.595,194.162,1,LLINGWILDGAMEINTHEFORRESTBECAUSE,DJUSTBEWITHCALLYFORMAKINGSPROVEQ
32,16,28,0.0312,229.596,158.604,1,NGWHENTHEYREACHPARADICESOTHEYARE,XGBECOMEWASVIDERFULLYDONTHEPARKJ
32,17,27,0.0938,232.708,150.689,1,MNOTAFRAIDOFTHEGASCHAMBERBECAASE,BQUEANDLIVINGTHEPORTSBACKFORMAYW
32,18,27,0.0938,225.803,136.297,1,CEALLTHESOOHERBECAUSEENOWHAVEENO,RDBYTHESTOFEXPLORACKINGIVEANDSMU
32,19,27,0.0312,224.033,163.411,1,OTHINGWHENTHEYREACHPARADICESOTHE,XWAYBUTANDMAKESOFHAVINGSTHERPLAC
32,20,28,0.0938,227.726,157.707,1,VERYONEELSEHASNOTHINGWHENTHEYREA,JOYOURETHEBACKINGANDIWASSMALPROV
32,21,28,0.0938,232.662,129.385,1,EMOATDANGERTUEANAMALOFALLTOKILLS,KEXAMPLESBUTYOURCEWITHANDINGFINJ
32,22,29,0.0312,233.527,131.389,1,LSENDMETOPARADLCEALLTHESOOHERBEC,WFUCKINGFOREDBYTHISWOMANCOMPLEXT
32,23,29,0.0312,233.053,170.153,1,GAMEINTHEFORRESTBECAUSEMANISTHEM,XPICKLYANDHAVEYOURBESTWINGFORAMI
50,0,44,0.02,238.482,195.2,1,FUNTHANKILLINGWILDGAMEINTHEFORRESTBECAUSEMANISTHEM,EZYMOVEDTHEJUSTANDSWILLYCOMESBACKFORBUTTHINGAPROXI
50,1,39,0.0,229.211,169.33,1,WHEREEVERYONEELSEHASNOTHINGWHENTHEYREACHPARADICESO,XAMINGYOUREDTOBEMANWITHAVECHANDPAGEFORSALLYOURSTJK
50,2,40,0.02,237.79,150.101,1,BERBECAASEITWILLSENDMETOPARADLCEALLTHESOOHERBECAUS,LHEWASEDBYJACKINGFROMFORBUTIONSAVINGTHEPUTALLYSEXQ
50,3,41,0.1,238.195,168.673,1,TABOUTMEIAMNOTAFRAIDOFTHEGASCHAMBERBECAASEITWILLSE,ZDYCOMEFOREXPLASTHINGSINTHROUNDEVERYOURABLACKWITHJ
50,4,40,0.04,236.855,150.101,1,BERBECAASEITWILLSENDMETOPARADLCEALLTHESOOHERBECAUS,OCYSTALKINGDEVERYOFTHEMWHEREXPANDERFUCKSBUTIONALJQ
50,5,40,0.1,238.199,181.21,1,MEBECAUSEYOUWILLTRYTOSLOIDOWNORATOPMYCOLLECTINGOFS,TZUREBUTWHOWASCOMPLINGLYANDSFORKINGTHEYCOVERSANDJQ
50,6,39,0.08,238.98,165.422,1,HINGWHENTHEYREACHPARADICESOTHEYAREAFRAIDOFDEATHIAM,EQUIREDOVERYWHISEXTRACKSOFTHEBULLYMAKINGPANDTHEJAZ
50,7,40,0.02,237.417,172.07,1,BECOMEMYSLAVESIWILLNOTGIVEYOUMYNAMEBECAUSEYOUWILLT,XBYGIVINGPROCKEDJUSTCOMEOFALLINTHISWAYOURBADTHEPUZ
50,8,39,0.06,232.875,166.65,1,EREEVERYONEELSEHASNOTHINGWHENTHEYREACHPARADICESOTH,CKUSBANDEVERBECOMPLYTOXIFYOURPOSTWASHOLDINGTHEMAJO
50,9,39,0.04,233.048,149.368,1,NTHEYREACHPARADICESOTHEYAREAFRAIDOFDEATHIAMNOTAFRA,XLOVETHESOUNDTHISAPPWORKBUTMYREALLYCANDOFTHINGBYJM
50,10,38,0.02,226.941,168.333,1,EEVERYONEELSEHASNOTHINGWHENTHEYREACHPARADICESOTHEY,LAZINGFROMEXPECTSTHEWASWELLBEASKINDERIFYOUDOHAVEMG
50,11,41,0.12,236.033,158.748,1,ADICESOTHEYAREAFRAIDOFDEATHIAMNOTAFRAIDBECAUSEIVNO,LDURBACKOFTHEVIEWASTHEFORCOLLINGTHEMINDSPRAYINGJQX
50,12,43,0.0,243.789,194.013,1,VENBETTERTHANGETTINGYOURROCKSOFFWITHAGIRLTHEBESTPA,XPANDJUSTHASBEFOREVERTHINGITWILLCOMAZEDBYJACKYOURQ
50,13,43,0.12,241.854,174.678,1,THETVSHOWWHICHBRINGOUPAPOINTABOUTMEIAMNOTAFRAIDOFT,XTSJUSTOMETHATWHICHINGMAKINGPREVERYFORYOURBANDLIBZ
50,14,40,0.02,238.678,160.615,1,WILLBEREBORNINPARADICEANDALLTHEIHAVEKILLEDWILLBECO,JKINGFORYOURMUCHASESITWOULDIVETHEPLAYANDBACKINGFIX
50,15,42,0.04,244.442,173.756,1,ETTINGYOURROCKSOFFWITHAGIRLTHEBESTPARTOFITIATHAEWH,XARIZEDANDINGJUSTTHECOMEBACKOFTHEFULLYITWASPROVEYO
50,16,41,0.0,236.375,174.568,1,LSEHASNOTHINGWHENTHEYREACHPARADICESOTHEYAREAFRAIDO,XQUATTHEWAVERSANDBACKSINMALLYFROMCOMPANDYOUTHINGJZ
50,17,43,0.08,244.904,185.297,1,INGEXPERENCEITISEVENBETTERTHANGETTINGYOURROCKSOFFW,ZQSOFTERTHEMACHINGINFORMEDBYJUSTRACKSWILLOVEDBYPPX
50,18,42,0.04,238.983,185.228,1,EXPERENCEITISEVENBETTERTHANGETTINGYOURROCKSOFFWITH,DOFTHISIMPROVERSANDBYTHEJACKINGMAKEYOUTWILLBEEXPRJ
50,19,43,0.16,246.092,187.175,1,UCHFUNITIAMOREFUNTHANKILLINGWILDGAMEINTHEFORRESTBE,ZXHAVINGFORMSBACKTHEYWOULDNTSPECTORINGTHEALLYOURJQ
50,20,37,0.02,227.853,167.769,1,VEKILLEDWILLBECOMEMYSLAVESIWILLNOTGIVEYOUMYNAMEBEC,IRPOSEDBYJUSTFORAVANCEWILLEXCUSHINGWITHTHANDMARKDO
50,21,36,0.1,227.656,149.284,1,ECAUSEENOWHAVEENOUGHSLAVESTOWORVFORMEWHEREEVERYONE,EXQUIMAGECONTRYINGDOWHATSJUSTOFTHEDBECOMPARTYLINKS
50,22,36,0.1,230.251,143.546,1,ESOOHERBECAUSEENOWHAVEENOUGHSLAVESTOWORVFORMEWHERE,EXPONSIBLYPRODUCTANCEWEMAKINGTHESOFPROVERTHELANDJU
50,23,40,0.02,234.182,174.206,1,RNINPARADICEANDALLTHEIHAVEKILLEDWILLBECOMEMYSLAVES,XBYJULPROVESTMAKINGTHETIMEANDIWASANDTHECOLORFILMSQ
75,0,52,0.0133,236.539,171.301,1,ARADICESOTHEYAREAFRAIDOFDEATHIAMNOTAFRAIDBECAUSEIVNOWTHATMYNEWLIFEISLIFEWIL,RXCUSEDBYDOINGTHETYPLASTWORKOFCALINGTHEQUAREPROVINGBEFORMANADJUSTILLOFTHEQZ
75,1,49,0.04,231.303,184.774,1,AREHAVINGLOTSOFFANINTRYINGTOCATCHMETHATWASNTMEONTHETVSHOWWHICHBRINGOUPAPOIN,MZGRANDOTHEYWILLWASJUSTANTAKEXPERIVERYCOMPLYIFYOURBANDREFORMERSTHATISBACKDJ
75,2,53,0.0133,236.908,181.39,1,LDGAMEINTHEFORRESTBECAUSEMANISTHEMOATDANGERTUEANAMALOFALLTOKILLSOMETHINGGIV,CZFSTOHAVERACKWILLEDBYJUSTHINGMENTANDINGFORPERSBYTHEMANDCOMPLEDUCTIVESOFFXQ
75,3,52,0.0133,234.367,171.301,1,ARADICESOTHEYAREAFRAIDOFDEATHIAMNOTAFRAIDBECAUSEIVNOWTHATMYNEWLIFEISLIFEWIL,YXISHOULDBACKINDREPROBLEMAYHAVINGTHIEFRUSTWORKERSANDPLAYINGJUSTHECOMOVEDPUZ
75,4,50,0.0,233.244,188.752,1,INPARADICEANDALLTHEIHAVEKILLEDWILLBECOMEMYSLAVESIWILLNOTGIVEYOUMYNAMEBECAUS,SXOFTHERECOMPLYINGLOGJUSTANYMARKINGWEVEREDBYFUCKSPRINTHEWOULDATEDTHESAMEOZQ
75,5,49,0.0667,227.305,184.723,1,NGLOTSOFFANINTRYINGTOCATCHMETHATWASNTMEONTHETVSHOWWHICHBRINGOUPAPOINTABOUTM,WHJOYWILLACKSOMEDTHINEXPERTSFREQUALLYTHEWORKINGROSURVERYMUCHINGBANDSPACEOFT
75,6,49,0.0267,224.903,176.355,1,GTOCATCHMETHATWASNTMEONTHETVSHOWWHICHBRINGOUPAPOINTABOUTMEIAMNOTAFRAIDOFTHE,LATISMINTHANOFORWHYTHEWINGAZINECONDINGBULLEXPECTEDMAKESATJUSTBEFORPROVERYNQ
75,7,48,0.0267,228.614,162.949,1,BERBECAASEITWILLSENDMETOPARADLCEALLTHESOOHERBECAUSEENOWHAVEENOUGHSLAVESTOWO,BSZONANDMYWORKINGUPWILLFORSEXPACKINGESHAVENTBYANDJULYTHEDICSOFTHEMPRINGMARV
75,8,48,0.0267,223.296,182.978,1,CEANDALLTHEIHAVEKILLEDWILLBECOMEMYSLAVESIWILLNOTGIVEYOUMYNAMEBECAUSEYOUWILL,NKYBLUSHOVERVICTURESALOTHEMANDIDINGSUCKINGTHELPFORCEMAZINGWITHANYEXAMPFORSH
75,9,51,0.04,235.375,181.545,1,HATWASNTMEONTHETVSHOWWHICHBRINGOUPAPOINTABOUTMEIAMNOTAFRAIDOFTHEGASCHAMBERB,OVEDBYSWILLPROBADFOUNDOFCONJUSTHATHANKSIMPLEXINGLIQUEVERBYTHEWORTHECOMINGZP
75,10,47,0.0133,230.86,163.416,1,ECAUSEENOWHAVEENOUGHSLAVESTOWORVFORMEWHEREEVERYONEELSEHASNOTHINGWHENTHEYREA,OWSFIRSTIVEDALCOUNTEXPLAYINGHAMAZINGOVERYSLACKBUTYOURREDINGMEOFTHESTHELPJCQ
75,11,53,0.04,236.084,182.523,1,OUMYNAMEBECAUSEYOUWILLTRYTOSLOIDOWNORATOPMYCOLLECTINGOFSLAVESFORMYAFTERLIFE,HZONEWOMANDITSJUSTBLACKINGFORBYTHERSUPIFYOUDBACKDOWNTHEPROVIDESLONGEXPLACEM
75,12,50,0.0133,228.617,178.665,1,TCHMETHATWASNTMEONTHETVSHOWWHICHBRINGOUPAPOINTABOUTMEIAMNOTAFRAIDOFTHEGASCH,APEOFWELLDOFBROWNTHESHAVEANDEXPECTICULATINGSMAKINGWORKFORALLYCOMPLYREQUIZPE
75,13,52,0.0533,233.666,177.922,1,NTHANKILLINGWILDGAMEINTHEFORRESTBECAUSEMANISTHEMOATDANGERTUEANAMALOFALLTOKI,ZFRISBUTTHEEXCOMEANDEVERWILLINGCOMPACKANDBYJURINGSPRIZEDFORWASANDTHISTOFQBU
75,14,54,0.1067,240.047,193.004,1,RILLINGEXPERENCEITISEVENBETTERTHANGETTINGYOURROCKSOFFWITHAGIRLTHEBESTPARTOF,SMBYTHEWALLYCANDHAVINGTHEWOULDPROJECTSIZEDBACKINGSOFFEMARKETSFORDINGUPMYPXF
75,15,50,0.0267,234.241,179.511,1,KILLEDWILLBECOMEMYSLAVESIWILLNOTGIVEYOUMYNAMEBECAUSEYOUWILLTRYTOSLOIDOWNORA,QDOUTHEPROFTHENINGFUCKINGSFROMMJACKWAYINGSANDSTHAVETABLEDURINGBECOMPLYSUBZX
75,16,53,0.0133,231.41,187.552,1,HEMOATTHRILLINGEXPERENCEITISEVENBETTERTHANGETTINGYOURROCKSOFFWITHAGIRLTHEBE,AYFORPRAGEMENTICKTHISWELLMYBODYFOCUSHEDANDISPROVINGWITHEJUSTTHEMAKINGQUALZO
75,17,48,0.0133,230.041,163.787,1,DMETOPARADLCEALLTHESOOHERBECAUSEENOWHAVEENOUGHSLAVESTOWORVFORMEWHEREEVERYON,XFORUMMYBROWNTHAVEDLIKELYITWINGSOFTHESANDJUDGECOMALQUICKPARTOFTHESPONADYBUZ
75,18,52,0.1467,235.895,192.6,1,GIVESMETHEMOATTHRILLINGEXPERENCEITISEVENBETTERTHANGETTINGYOURROCKSOFFWITHAG,HOCOMMEDIAMJUSTIFYOURTHEGRAVERWOULDBECAUSEXPANDINTHESTOTHINKINGWASAPPLYLIZH
75,19,53,0.04,240.83,183.339,1,AVESIWILLNOTGIVEYOUMYNAMEBECAUSEYOUWILLTRYTOSLOIDOWNORATOPMYCOLLECTINGOFSLA,ZYPLANDTHRICKLYDRIVESTOEXPLEANDFROMJUSTWASMUCHINGINGOFYOUWEREISTHEBACKINGHQ
75,20,51,0.0933,226.557,158.637,1,IRLTHEBESTPARTOFITIATHAEWHENIDIEIWILLBEREBORNINPARADICEANDALLTHEIHAVEKILLED,TZOJACKEDBYCOMPRIVINGANDFAMERSBUTWITHEFUCKINGILLEXPERSECONNOTHADBANDMYTHOUS
75,21,47,0.08,223.843,167.549,1,ERBECAUSEENOWHAVEENOUGHSLAVESTOWORVFORMEWHEREEVERYONEELSEHASNOTHINGWHENTHEY,DYKINGUPSHAMMENTACQUIREJUSTDONOWBUTIMPLIMESTHATCHFUNDINGSEXPLOREFORWEHAVEAZ
75,22,53,0.1067,240.358,177.279,1,DOFDEATHIAMNOTAFRAIDBECAUSEIVNOWTHATMYNEWLIFEISLIFEWILLBEANEASYONEINPARADIC,QZEXPORTHERINGLESANDBACKWITHADJUSTOURINGMOVEDBYTHEFUNCOMPERALLYWITHISASKQVC
75,23,46,0.0,223.479,158.047,1,OPARADLCEALLTHESOOHERBECAUSEENOWHAVEENOUGHSLAVESTOWORVFORMEWHEREEVERYONEELS,MZWJULYINGABLEDINCESBUTIVERSOFTHERANDIMPLEXYWASKINGCHARTOFTHESTONADJUMPSTAI
100,0,58,0.04,222.808,196.603,1,ILLINGPEOPLEBECAUSEITISSOMUCHFUNITIAMOREFUNTHANKILLINGWILDGAMEINTHEFORRESTBECAUSEMANISTHEMOATDANGERT,OMBERSONAJACKOFSUCHEDUPTHEYFIGHTOZONEDINGUYVIABLEMBERSQUALSHEWORKINGTHECALLOFMYCHESTOPPINEANDWAYSWXZ
100,1,58,0.01,219.319,175.458,1,ICHBRINGOUPAPOINTABOUTMEIAMNOTAFRAIDOFTHEGASCHAMBERBECAASEITWILLSENDMETOPARADLCEALLTHESOOHERBECAUSEE,FEATOMAKETHEYWOULDISPRINGSITHOURJOBBERBANKEREADITCHIVESUCHFROMMYPLAYINGWHOWEXPENDMYLACKSHAVETHESURLN
100,2,54,0.02,222.286,179.274,1,ATHAEWHENIDIEIWILLBEREBORNINPARADICEANDALLTHEIHAVEKILLEDWILLBECOMEMYSLAVESIWILLNOTGIVEYOUMYNAMEBECAU,VPREMORSINTERCOFTHINGWASEXCHANDKINGBUTIVATORMEREDSUCHARTOFTHINGJEWELLANDBYCONTHEMOVEDMYQUELIKESARGUZ
100,3,54,0.06,218.692,172.329,1,NISTHEMOATDANGERTUEANAMALOFALLTOKILLSOMETHINGGIVESMETHEMOATTHRILLINGEXPERENCEITISEVENBETTERTHANGETTI,DJXWOVERTHESALAZONIMPRESTOFTHINGBYTHENEEDOFALLKINGERCOVERSWHOBBITJULAQUIREDANYOFPRIVACANDISCOMPLEWHK
100,4,55,0.09,221.922,179.167,1,EMOATDANGERTUEANAMALOFALLTOKILLSOMETHINGGIVESMETHEMOATTHRILLINGEXPERENCEITISEVENBETTERTHANGETTINGYOU,VERANDWELOFTHEMAKEJUSTABOUNDSUBTHEPRIMALLGOTHECHIVERWINIFYOURBLOCKEXPECTSTMYCOVEYOUREDHIMALPINGALZSQ
100,5,57,0.03,224.047,184.26,1,BECOMEMYSLAVESIWILLNOTGIVEYOUMYNAMEBECAUSEYOUWILLTRYTOSLOIDOWNORATOPMYCOLLECTINGOFSLAVESFORMYAFTERLI,QUATEGERDIFITBACKNOWMAYWILSOVERYSEXPLANDJUSTMOVINGERSTCOMPROCKTHENTHESAMINGAWAYYOUDOFITBUTHERFULLZIK
100,6,53,0.03,214.039,169.069,1,SENDMETOPARADLCEALLTHESOOHERBECAUSEENOWHAVEENOUGHSLAVESTOWORVFORMEWHEREEVERYONEELSEHASNOTHINGWHENTHE,BDURINGAVEACOPYOFLIKEMYTHEISANYOULDNTAGEFROMWASSEXPERIBUTTHERMAKINGEDINORMAGAZINLYDECLOTHEJUSTENTHEO
100,7,60,0.11,225.069,184.553,1,NGWHENTHEYREACHPARADICESOTHEYAREAFRAIDOFDEATHIAMNOTAFRAIDBECAUSEIVNOWTHATMYNEWLIFEISLIFEWILLBEANEASY,XQREHAVECOMMIKEGAMELIKEDWHENBUTPASSITWASTHAVEREDBYJUSTALLOCKINGMINGFOREANDOVERYISNTFORSPOLLYTHEXCUZB
100,8,58,0.06,223.327,189.16,1,ARADICEANDALLTHEIHAVEKILLEDWILLBECOMEMYSLAVESIWILLNOTGIVEYOUMYNAMEBECAUSEYOUWILLTRYTOSLOIDOWNORATOPM,LZEBOTHANDFINGANHAVEJUSTISDIDNTWATERPROFILEHOWMONTHEYWHENCYPROVERJUSTABLACKVISINGCOMESTEDBYMAKEFLEXR
100,9,53,0.12,216.041,178.041,1,CAUSEENOWHAVEENOUGHSLAVESTOWORVFORMEWHEREEVERYONEELSEHASNOTHINGWHENTHEYREACHPARADICESOTHEYAREAFRAIDO,BACKLINGWEDONTHEPRESSFOURCOMINORGUYSWELLINOTTHEJUSTPLEAKCOMEFORMEINVENTITYBEDANDMYBUSIVESHFULARLYXZG
100,10,53,0.19,218.241,164.504,1,ERBECAASEITWILLSENDMETOPARADLCEALLTHESOOHERBECAUSEENOWHAVEENOUGHSLAVESTOWORVFORMEWHEREEVERYONEELSEHA,AYJUDGEINJACKISBETWORKOFGROUNDEXISTHAVISHUMANDGOVERBYTHEPEALOFTHINGPUBLICSMPLYWONTHEYREPARTOFUNIVEHO
100,11,54,0.02,214.621,184.816,1,FFANINTRYINGTOCATCHMETHATWASNTMEONTHETVSHOWWHICHBRINGOUPAPOINTABOUTMEIAMNOTAFRAIDOFTHEGASCHAMBERBECA,HHYOUROVEWISEBALLANDMENTKITSVIDESCONCEPUNCHINGANEXPOSTFROMBERLYASKEDFULDICKTHATWITHINGSOMANYDERJAMAL
100,12,59,0.02,226.677,191.228,1,PARADICEANDALLTHEIHAVEKILLEDWILLBECOMEMYSLAVESIWILLNOTGIVEYOUMYNAMEBECAUSEYOUWILLTRYTOSLOIDOWNORATOP,XHAMPLEFROMOTIONWINGERJUSTUBBYISTHECAPANDTHEFORALISTMOVIEWILLANDMARQUERYTHINGBUTIVENACKSMYPLAINDOFCZ
100,13,55,0.04,217.395,180.794,1,SEITISSOMUCHFUNITIAMOREFUNTHANKILLINGWILDGAMEINTHEFORRESTBECAUSEMANISTHEMOATDANGERTUEANAMALOFALLTOKI,QUGHIMPLETETONLYASWEATHOFFSTRICKBIGJOKINGOVERYBUTDOWNANDEXPECTQUEALSMOTHERWHERFORMANDVICEABLOWINSACK
100,14,53,0.1,216.166,164.504,1,ERBECAASEITWILLSENDMETOPARADLCEALLTHESOOHERBECAUSEENOWHAVEENOUGHSLAVESTOWORVFORMEWHEREEVERYONEELSEHA,DMXSINGATHOFFICPROVEIWOULDBELINKICKEDCOMESBUTINGPRINTHEGANDYOUREALLASPROFMYASTHETHERMINADDYOUSTICREB
100,15,54,0.07,221.694,179.274,1,ATHAEWHENIDIEIWILLBEREBORNINPARADICEANDALLTHEIHAVEKILLEDWILLBECOMEMYSLAVESIWILLNOTGIVEYOUMYNAMEBECAU,TXTHESTERHADLOCKINGYOULIVINGJOBSWHOMWHATFITTEDTHRECONFLASKINGYOUPUPERFORMANCHINGBANDREWASPERSPELLOWQ
100,16,58,0.05,224.508,184.615,1,NGYOURROCKSOFFWITHAGIRLTHEBESTPARTOFITIATHAEWHENIDIEIWILLBEREBORNINPARADICEANDALLTHEIHAVEKILLEDWILLB,QBJUSTACOMPULLREMANBETOPAYOFFIXTURALIZEDBACKRAINSEEVERINGWIFYOUTHERTHANDSOFTHEDONMAKEACHIMEGOVERINGW
100,17,56,0.04,217.439,184.164,1,CATCHMETHATWASNTMEONTHETVSHOWWHICHBRINGOUPAPOINTABOUTMEIAMNOTAFRAIDOFTHEGASCHAMBERBECAASEITWILLSENDM,ICKINALUNTSOFPREADTHENEXPANDSONGINBUTHOWYOURBACKGETQUALLCARDSTHEFORWHENYOUMINGABOVELICTEDGESTIMPERJA
100,18,56,0.0,216.748,179.811,1,ENOUGHSLAVESTOWORVFORMEWHEREEVERYONEELSEHASNOTHINGWHENTHEYREACHPARADICESOTHEYAREAFRAIDOFDEATHIAMNOTA,HORQUITYSTUPVEDAYTODOWNFIRMANTHEGROUNDPRICESEXISJUDIACHINGTHEBILLYGETBUTAKINGSORCOMEANDOFALLINGWORKS
